#t	<mx>	<my>	<mz>	Dt
1.313139e-09	-0.4057342697681289	-0.805643726136182	0.4316455593112615	3.0683427121725397e-11
1.343822e-09	0.06559295133128287	-0.8954083941372463	0.44038775237761707	3.061790665331369e-11
1.374440e-09	0.5130611372144008	-0.7315335410400946	0.4490288941856704	3.055451771023461e-11
1.404995e-09	0.8112510753830859	-0.3640082900393715	0.45756929253655054	3.0493305799823505e-11
1.435488e-09	0.878981877194468	0.10112460376578349	0.4660093068565287	3.0434298360932264e-11
1.465922e-09	0.7009164909707224	0.5326431973321301	0.4743493406984928	3.037750635932153e-11
1.496300e-09	0.3303071350436107	0.811174609864667	0.4825898350050351	3.032292584471927e-11
1.526623e-09	-0.12729897385257674	0.8619615998713631	0.4907312621010415	3.027053945269812e-11
1.556893e-09	-0.5443369212299984	0.6744788306739786	0.4987741203776605	3.022031783640382e-11
1.587113e-09	-0.8067691417143956	0.3039070225206447	0.5067189296247514	3.017222102427188e-11
1.617286e-09	-0.8450303787630085	-0.14541408814788456	0.514566226967691	3.01261996973056e-11
1.647412e-09	-0.6520705845593533	-0.5495355860990063	0.5223165633629139	3.008219638745846e-11
1.677494e-09	-0.2839510404067659	-0.7990638742539612	0.5299705006075008	3.004014659652949e-11
1.707534e-09	0.15669486535353883	-0.8285588173891143	0.5375286088187202	2.9999979840051543e-11
1.737534e-09	0.5494123640755715	-0.6333485280600261	0.5449914643414979	2.9961620619295284e-11
1.767496e-09	0.7888209084903681	-0.2695559191366187	0.5523596480435942	2.9924989325532545e-11
1.797421e-09	0.8127038074972639	0.16224239242662553	0.5596337439604004	2.989000308119775e-11
1.827311e-09	0.6178759370995176	0.5449319519936265	0.5668143382535492	2.985657652278322e-11
1.857167e-09	0.25988100775200373	0.7765940606449249	0.5739020184498653	2.982462252919291e-11
1.886992e-09	-0.16301176763411332	0.797486931389291	0.5808973729292414	2.9794052899772666e-11
1.916786e-09	-0.5368731034460139	0.6051919251015095	0.5878009906321819	2.976477898470955e-11
1.946551e-09	-0.7627799596421738	0.2541683796501631	0.59461346095955	2.973671227236902e-11
1.976288e-09	-0.7828519497321316	-0.15980798781728278	0.6013353738392505	2.970976493404768e-11
2.005997e-09	-0.5948554761210704	-0.5258542577737927	0.6079673199358239	2.968385032959871e-11
2.035681e-09	-0.25176191560816735	-0.7476587000336571	0.6145098909808435	2.965888347512987e-11
2.065340e-09	0.15329279682020497	-0.7687037311677968	0.620963680203397	2.9634781473701327e-11
2.094975e-09	0.5123584487211581	-0.5864697698210263	0.627329282841253	2.961146391025695e-11
2.124586e-09	0.7314243315971992	-0.2521115639899779	0.6336072967147061	2.95888532109356e-11
2.154175e-09	0.7549322300146308	0.14399803529308347	0.6397983228462455	2.9566874967780074e-11
2.183742e-09	0.5796919459545615	0.49675608316864245	0.6459029661105162	2.954545822858907e-11
2.213287e-09	0.2547674768666875	0.7142068696166519	0.6519218359001058	2.952453575196216e-11
2.242812e-09	-0.13234274193241233	0.7414253018412832	0.6578555467938025	2.950404422804069e-11
2.272316e-09	-0.47932540958367553	0.5742327031952699	0.6637047192151755	2.948392446474861e-11
2.301800e-09	-0.6960879289896239	0.2593675787362786	0.6694699800703662	2.946412154060296e-11
2.331264e-09	-0.7280738094984305	-0.11865224102386063	0.6751519633552574	2.9444584922399474e-11
2.360709e-09	-0.5698493528478469	-0.4602709723716816	0.6807513107228785	2.942526855075485e-11
2.390134e-09	-0.2656213177820796	-0.6771119740236836	0.6862686720035102	2.9406130893071346e-11
2.419540e-09	0.10317796385988136	-0.7147719272093641	0.691704705670809	2.938713496334967e-11
2.448927e-09	0.43974041435801925	-0.5663352486812856	0.6970600792480832	2.93682483128721e-11
2.478295e-09	0.6572948294611859	-0.27329177674129074	0.7023354696504932	2.934944299078194e-11
2.507645e-09	0.7014149608435608	0.08611701001156725	0.7075315634595345	2.9330695476344e-11
2.536976e-09	0.5635079026809332	0.41783987960912666	0.7126490571272553	2.931198658571664e-11
2.566288e-09	0.28217788080482015	0.6366306896795184	0.7176886571088337	2.9293301353522456e-11
2.595581e-09	-0.06763060837673002	0.6878964438758469	0.7226510799227779	2.927462889259129e-11
2.624855e-09	-0.3946481202294032	0.5611975578743116	0.7275370521391383	2.925596223296591e-11
2.654111e-09	-0.6150984788805518	0.29209806295139484	0.7323473102967433	2.923729814348067e-11
2.683349e-09	-0.6741057678414896	-0.047860771330935394	0.7370826007513974	2.921863693685133e-11
2.712567e-09	-0.5592375058438701	-0.3702292884719973	0.7417436794574296	2.919998226251401e-11
2.741767e-09	-0.30287639585971127	-0.5926680875736878	0.7463313116858884	2.918134088765364e-11
2.770949e-09	0.026944581371560698	-0.6599271670681757	0.7508462716828816	2.9162722470614115e-11
2.800111e-09	0.34464431735695816	-0.5574569974118471	0.7552893422723002	2.914413932710377e-11
2.829256e-09	0.5693067425819184	-0.31433186323349566	0.7596613144072326	2.912560619414858e-11
2.858381e-09	0.6452404956426344	0.005025711228936627	0.7639629866750687	2.910713999071492e-11
2.887488e-09	0.5556771976414769	0.3179607536459704	0.7681951647610139	2.9088759580287903e-11
2.916577e-09	0.3262711264324996	0.5449855512096536	0.772358660875359	2.9070485534784e-11
2.945648e-09	0.017737055352942937	0.629923906132382	0.7764542931495251	2.9052339903020905e-11
2.974700e-09	-0.2902608944759081	0.5537102846710874	0.7804828850061407	2.9034345985454084e-11
3.003734e-09	-0.5196860877073632	0.3384848552503583	0.7844452645083393	2.901652811554584e-11
3.032751e-09	-0.6138582649146708	0.041164376237487706	0.7883422636932061	2.8998911450127774e-11
3.061750e-09	-0.5513614932379197	-0.26164808446371685	0.7921747178943035	2.89815217687681e-11
3.090731e-09	-0.35074744452587825	-0.49340675977360093	0.7959434650578407	2.8964385284850194e-11
3.119696e-09	-0.06505390796783325	-0.5969329225364605	0.799649345057065	2.894752846692903e-11
3.148643e-09	0.2322510509082608	-0.5484336657956737	0.8032931990088845	2.8930977872200566e-11
3.177574e-09	0.46616860733500864	-0.36281973790270255	0.8068758685966219	2.8914759992510217e-11
3.206489e-09	0.5790523053351118	-0.0891806737724212	0.8103981954024758	2.889890111227016e-11
3.235388e-09	0.5447337026613752	0.2022261924128714	0.8138610202528568	2.8883427179784862e-11
3.264271e-09	0.37445422934981154	0.4380201496109477	0.8172651825795846	2.8868363689983562e-11
3.293140e-09	0.11329994238954413	0.5601427109470042	0.8206115197993913	2.8853735580285892e-11
3.321993e-09	-0.1717577934475345	0.5400801998017172	0.8239008667140552	2.8839567138452705e-11
3.350833e-09	-0.40904091169609347	0.38540211173369476	0.8271340549330787	2.8825881921673612e-11
3.379659e-09	-0.5401586754531327	0.13715222780349523	0.8303119123204576	2.8812702687445523e-11
3.408471e-09	-0.5343115269203769	-0.14105621388908124	0.8334352624669138	2.8800051335045995e-11
3.437271e-09	-0.3954214878026646	-0.3793433257514346	0.8365049241885957	2.8787948856569567e-11
3.466059e-09	-0.1604699471057772	-0.5190883284630959	0.8395217110529413	2.8776415298788744e-11
3.494836e-09	0.11035419429684157	-0.5272936236064085	0.8424864309323433	2.8765469732748585e-11
3.523601e-09	0.34907280603880897	-0.40428604914807165	0.8453998855857711	2.87551302322714e-11
3.552356e-09	0.49695725394005696	-0.1829852198409173	0.848262870268485	2.874541386018293e-11
3.581102e-09	0.5189268684873473	0.07990151615736045	0.8510761733697344	2.873633666107439e-11
3.609838e-09	0.4117935593245651	0.31840592824476766	0.8538405760781071	2.8727913660673205e-11
3.638566e-09	0.2044382611680246	0.4738305145676682	0.8565568520741241	2.8720158871325364e-11
3.667286e-09	-0.04995835048651538	0.5091514942638238	0.8592257672495522	2.8713085301531355e-11
3.695999e-09	-0.28754678593819744	0.4177735437295941	0.8618480794526546	2.8706704971006797e-11
3.724706e-09	-0.44981265941370535	0.22458581675472486	0.8644245382587096	2.8701028929178823e-11
