#position_x	position_y	position_z	radius	msat
3.26e+09	0	0	2.1021848062056245e-09	400000
3.27e+09	0	0	4.120907022666025e-09	400000
3.28e+09	0	0	1.5748966542348857e-08	400000
3.29e+09	0	0	4.451645907404426e-09	400000
3.3e+09	0	0	6.245435687725889e-09	400000
3.31e+09	0	0	1.8544207357652747e-08	400000
3.32e+09	0	0	6.25059409500529e-09	400000
3.33e+09	0	0	1.4602474288902813e-08	400000
3.34e+09	0	0	4.013410650330557e-09	400000
3.35e+09	0	0	2.0784019941957033e-08	400000
3.36e+09	0	0	6.1255468533774645e-09	400000
3.37e+09	0	0	5.1156055071825e-08	400000
3.38e+09	0	0	9.766640936873413e-09	400000
3.39e+09	0	0	1.1748427007121596e-08	400000
3.4e+09	0	0	6.365739360385079e-09	400000
3.41e+09	0	0	5.078184484706354e-08	400000
3.42e+09	0	0	4.321296140584151e-09	400000
3.43e+09	0	0	9.258595343729377e-09	400000
3.44e+09	0	0	3.4141385993733647e-09	400000
3.45e+09	0	0	6.3475110224534335e-09	400000
3.46e+09	0	0	2.95274493205259e-09	400000
3.47e+09	0	0	5.3185054930737064e-09	400000
3.48e+09	0	0	2.5609360125481896e-08	400000
3.49e+09	0	0	1.854456287783171e-09	400000
3.5e+09	0	0	1.2964507817008457e-07	400000
3.51e+09	0	0	3.479177032955411e-09	400000
3.52e+09	0	0	9.305005020017327e-09	400000
3.53e+09	0	0	2.488415224654011e-08	400000
3.54e+09	0	0	3.594146931339926e-08	400000
3.55e+09	0	0	5.3655605492551474e-09	400000
3.56e+09	0	0	7.820887563321058e-09	400000
3.57e+09	0	0	7.2766594128260394e-09	400000
3.58e+09	0	0	3.988841036872512e-09	400000
3.59e+09	0	0	2.8014278268835312e-09	400000
3.6e+09	0	0	2.6133872700790746e-09	400000
3.61e+09	0	0	4.465343706157999e-09	400000
3.62e+09	0	0	2.5763621839176686e-09	400000
3.63e+09	0	0	1.3090951944210392e-08	400000
3.64e+09	0	0	1.4563140417229803e-09	400000
3.65e+09	0	0	2.2239035908494567e-08	400000
3.66e+09	0	0	1.1588345521384396e-08	400000
3.67e+09	0	0	2.184525600066607e-09	400000
3.68e+09	0	0	1.58662565644695e-08	400000
3.69e+09	0	0	2.852964071667769e-09	400000
3.7e+09	0	0	2.8428285755946253e-08	400000
3.71e+09	0	0	1.511852607292942e-09	400000
3.72e+09	0	0	6.74997492928965e-09	400000
3.73e+09	0	0	1.473386469593859e-08	400000
3.74e+09	0	0	1.569340756234494e-08	400000
3.75e+09	0	0	5.8833521204714895e-09	400000
3.76e+09	0	0	3.0258426896271114e-08	400000
3.77e+09	0	0	1.1463525859140231e-08	400000
3.78e+09	0	0	8.579547271301433e-09	400000
3.79e+09	0	0	1.1438589459224744e-08	400000
3.8e+09	0	0	1.558652354344925e-08	400000
3.81e+09	0	0	8.003473023372888e-08	400000
3.82e+09	0	0	2.6562248664084832e-08	400000
3.83e+09	0	0	4.229794571954766e-08	400000
3.84e+09	0	0	5.339913599485621e-09	400000
3.85e+09	0	0	3.187596698227455e-09	400000
3.86e+09	0	0	1.028019144696281e-08	400000
3.87e+09	0	0	4.436801827282533e-09	400000
3.88e+09	0	0	6.12136088458262e-09	400000
3.89e+09	0	0	4.13741821802807e-08	400000
3.9e+09	0	0	1.748762339076243e-08	400000
3.91e+09	0	0	1.2831625908125342e-08	400000
3.92e+09	0	0	1.0000355512303755e-08	400000
3.93e+09	0	0	3.4730096922448344e-09	400000
3.94e+09	0	0	4.903285113041001e-09	400000
3.95e+09	0	0	1.0734064639497437e-09	400000
3.96e+09	0	0	1.1388855792905622e-08	400000
3.97e+09	0	0	6.168949026603765e-09	400000
3.98e+09	0	0	4.2117899581043285e-09	400000
3.99e+09	0	0	3.100898364229707e-08	400000
4e+09	0	0	3.872673432755336e-09	400000
4.01e+09	0	0	2.3342926998881565e-08	400000
4.02e+09	0	0	9.741145015846844e-09	400000
4.03e+09	0	0	3.334176109854821e-08	400000
4.04e+09	0	0	5.304644990230985e-09	400000
4.05e+09	0	0	7.50254807714702e-09	400000
4.06e+09	0	0	6.076792396946081e-09	400000
4.07e+09	0	0	6.553568377000997e-09	400000
4.08e+09	0	0	3.845450699441567e-09	400000
4.09e+09	0	0	5.1849520787111464e-09	400000
4.1e+09	0	0	6.881230930074369e-09	400000
4.11e+09	0	0	6.60069813040003e-09	400000
4.12e+09	0	0	1.4526953286340515e-08	400000
4.13e+09	0	0	9.866197011693118e-10	400000
4.14e+09	0	0	1.1380303063189125e-08	400000
4.15e+09	0	0	5.845194426484022e-09	400000
4.16e+09	0	0	1.467454512570886e-08	400000
4.17e+09	0	0	4.915188912052207e-09	400000
4.18e+09	0	0	1.4226056736771426e-09	400000
4.19e+09	0	0	2.1844711124237256e-08	400000
4.2e+09	0	0	3.131165142251148e-09	400000
4.21e+09	0	0	2.1806468009940955e-08	400000
4.22e+09	0	0	7.65397956455116e-09	400000
4.23e+09	0	0	3.2199563942441715e-09	400000
4.24e+09	0	0	8.968104587930113e-09	400000
4.25e+09	0	0	1.5603817923412935e-08	400000
4.26e+09	0	0	5.442969422394971e-08	400000
4.27e+09	0	0	1.111679576652456e-08	400000
4.28e+09	0	0	1.1511586287222728e-08	400000
4.29e+09	0	0	9.519070516301472e-09	400000
4.3e+09	0	0	3.4764184789776744e-09	400000
4.31e+09	0	0	6.109064301499632e-08	400000
4.32e+09	0	0	7.022542542286887e-09	400000
4.33e+09	0	0	1.4318771497504805e-09	400000
4.34e+09	0	0	1.8618986562857786e-08	400000
4.35e+09	0	0	7.526073589425614e-09	400000
4.36e+09	0	0	7.723996946086577e-09	400000
4.37e+09	0	0	9.553014382106395e-09	400000
4.38e+09	0	0	8.964542628119204e-09	400000
4.39e+09	0	0	2.2552953108548432e-08	400000
4.4e+09	0	0	1.036746518807413e-07	400000
4.41e+09	0	0	1.925719232852133e-08	400000
4.42e+09	0	0	1.8973972673627667e-08	400000
