#t	<mx>	<my>	<mz>	u_x	u_y	u_z
4.201000e-07	1	0	0	0.002567623718353039	0.006648547447382635	0.5207231474164213
4.251000e-07	1	0	0	0.003174745278970376	0.005879766408911319	0.5168428414664854
4.301000e-07	1	0	0	0.0029707386838977974	0.006349357474571374	0.5122093550309276
4.351000e-07	1	0	0	0.0030745592288668076	0.005987838224858282	0.5080343146750059
4.401000e-07	1	0	0	0.0026594372768581156	0.007337277470657051	0.5044471496135455
4.451000e-07	1	0	0	0.002557668940567125	0.007493717883521271	0.5002714701283415
4.501000e-07	1	0	0	0.002074343785882997	0.006908064290917303	0.49614826679307444
4.551000e-07	1	0	0	0.0026730038036636068	0.006416214543970914	0.4920012208379015
4.601000e-07	1	0	0	0.002107125158102352	0.005442368798945214	0.4881800623526351
4.651000e-07	1	0	0	0.001720267916862805	0.00514050910994441	0.48475664772449856
4.701000e-07	1	0	0	0.0027641744650189013	0.00534525838073909	0.4817511116975388
4.751000e-07	1	0	0	0.003660328538803726	0.0048066459180097654	0.4786791364922205
4.801000e-07	1	0	0	0.0029770948934666488	0.004991635467415518	0.47591041829407155
4.851000e-07	1	0	0	0.0022156593227303963	0.0052900047423353495	0.4728956468357945
4.901000e-07	1	0	0	0.0023055512104908195	0.00489472997947025	0.4699925759818683
4.951000e-07	1	0	0	0.002396617749744296	0.005820532355391208	0.4669311488746861
5.001000e-07	1	0	0	0.0019705339264311185	0.005519759963041883	0.4628350224164445
5.051000e-07	1	0	0	0.0032660281774930045	0.004947154854619329	0.46058563643103356
5.101000e-07	1	0	0	0.00358820668979836	0.0048125945380044855	0.45815286859363796
5.151000e-07	1	0	0	0.003997329551788413	0.00481910149170426	0.4551294732140743
5.201000e-07	1	0	0	0.003433870750855701	0.005244544764856787	0.45119292384000803
5.251000e-07	1	0	0	0.0034422365031084434	0.003959151261621665	0.44810530310991403
5.301000e-07	1	0	0	0.0037247858432316685	0.0047713050409884245	0.44485752352251196
5.351000e-07	1	0	0	0.0038325174846841094	0.004833726566111536	0.4412721971497546
5.401000e-07	1	0	0	0.004906112150520438	0.005838119142983881	0.43721713690411984
5.451000e-07	1	0	0	0.005126188944225293	0.005702434187923462	0.43274090784250313
5.501000e-07	1	0	0	0.0057313391271518474	0.004962075891016765	0.4307829305062477
5.551000e-07	1	0	0	0.005594397788774854	0.005794459310476383	0.42772051512574766
5.601000e-07	1	0	0	0.004373506038341701	0.005327805982975849	0.42496855030466096
5.651000e-07	1	0	0	0.003744746408255357	0.004807170940664071	0.42144714064878436
5.701000e-07	1	0	0	0.0033795628101877606	0.004614754181872051	0.4187162944125244
5.751000e-07	1	0	0	0.002681887922774217	0.003207971684346463	0.41545128940256304
5.801000e-07	1	0	0	0.0023390867471183665	0.004253389390273009	0.4123312271339196
5.851000e-07	1	0	0	0.0012604260572613966	0.0036653339194823746	0.40899013737248474
