# t (s)	mx ()	my ()	mz ()
4.528911532527257e-09	0.08546987175941467	0.6524914503097534	0.752960741519928
4.601384817714874e-09	0.08694601058959961	0.6411397457122803	0.7624830007553101
4.709777551925204e-09	0.08916020393371582	0.6238446235656738	0.7764461040496826
4.817753754187473e-09	0.09137362986803055	0.6062425971031189	0.7900131344795227
4.9253387345838456e-09	0.09358656406402588	0.58833909034729	0.8031803965568542
5.032525274135102e-09	0.09579882770776749	0.5701450109481812	0.8159396052360535
5.103765555859251e-09	0.09727329760789871	0.5578583478927612	0.8242160081863403
5.210304882044686e-09	0.09948448836803436	0.5391989946365356	0.8362818360328674
5.316465768251939e-09	0.1016952395439148	0.5202721357345581	0.847923994064331
5.422242824021011e-09	0.10390534996986389	0.5010890364646912	0.8591352701187134
5.527641561553227e-09	0.1061149388551712	0.48165905475616455	0.869910478591919
5.63267196307433e-09	0.10832391679286957	0.4619908332824707	0.8802444934844971
5.702478224555807e-09	0.10979608446359634	0.44875332713127136	0.8868851661682129
5.806889678430649e-09	0.11200390756130219	0.4287126064300537	0.8964712619781494
5.910928380654166e-09	0.11421088129281998	0.40846318006515503	0.9056013226509094
6.014600335049779e-09	0.1164170652627945	0.3880148231983185	0.9142711162567139
6.117925732259231e-09	0.11862275004386902	0.3673745393753052	0.9224774837493896
6.2208933912200195e-09	0.12082771211862564	0.3465557098388672	0.9302150011062622
6.323491978902906e-09	0.12303157150745392	0.3255719542503357	0.9374786615371704
6.425754065364166e-09	0.1252349317073822	0.30442801117897034	0.9442667961120605
6.527662204762136e-09	0.1274375021457672	0.2831389009952545	0.9505746364593506
6.629220979393833e-09	0.129639133810997	0.2617151439189911	0.9563989639282227
6.730439287271748e-09	0.13183990120887756	0.2401665598154068	0.9617371559143066
6.831327732694126e-09	0.13404013216495514	0.2185024619102478	0.9665867686271667
6.931871695922444e-09	0.13623936474323273	0.19673776626586914	0.9709445238113403
7.0320747176635e-09	0.13843750953674316	0.17488352954387665	0.9748081564903259
7.131952466964819e-09	0.1406349241733551	0.15294814109802246	0.9781762957572937
7.231499802333305e-09	0.14283138513565063	0.13094455003738403	0.9810467958450317
7.330730548114717e-09	0.14502716064453125	0.10888168215751648	0.9834185838699341
7.429634202891492e-09	0.1472218781709671	0.0867738276720047	0.9852898716926575
7.528214412891339e-09	0.14941558241844177	0.06463216990232468	0.9866598844528198
7.626478029293888e-09	0.15160837769508362	0.042467087507247925	0.9875279664993286
7.72442287969041e-09	0.1538000851869583	0.02029113844037056	0.9878935813903809
7.82205168872998e-09	0.15599073469638824	-0.0018842797726392746	0.9877567291259766
7.919373037811964e-09	0.15818041563034058	-0.024049080908298492	0.987117350101471
8.016385640128973e-09	0.16036905348300934	-0.04619094729423523	0.9859757423400879
8.113093633559516e-09	0.16255664825439453	-0.0682988166809082	0.9843326210975647
8.209496555981629e-09	0.1647430956363678	-0.09036066383123398	0.9821887612342834
8.305599441486352e-09	0.16692854464054108	-0.11236555874347687	0.9795452356338501
