#t	<mx>	<my>	<mz>	u_anis_x	u_anis_y	u_anis_z
9.252371e-05	1.3792855562512842e-05	0.0011452220550556558	0.9999993441378859	1.7230699726383755e-07	0.0012454641185708144	0.9999992244092492
9.253380e-05	8.343845582632815e-06	0.0011430615906425972	0.999999346670077	1.7220100485622183e-07	0.0012444651674731837	0.999999225652909
9.254389e-05	2.7957441829948315e-06	0.0011415071768206828	0.9999993484765624	1.7208314319605185e-07	0.0012434670166778382	0.9999992268945757
9.255399e-05	-2.7844203699963636e-06	0.00114056603187203	0.9999993495504755	1.7195340175047172e-07	0.0012424696668583625	0.9999992281342509
9.256408e-05	-8.329232438772578e-06	0.0011402379741398004	0.9999993498937819	1.718119144813904e-07	0.0012414731186820578	0.9999992293719362
9.257418e-05	-1.3771703496704507e-05	0.001140515424215558	0.9999993495172422	1.7165895822639274e-07	0.0012404773727941229	0.9999992306076332
9.258427e-05	-1.9046081450017826e-05	0.0011413834965025087	0.9999993484402682	1.7149494935356472e-07	0.0012394824298021115	0.9999992318413434
9.259437e-05	-2.4088645021768033e-05	0.001142820179048404	0.9999993466906745	1.7132043873063927e-07	0.001238488290260848	0.9999992330730688
9.260446e-05	-2.8838473600521783e-05	0.001144796599475455	0.9999993443043291	1.7113610506924138e-07	0.0012374949546579874	0.9999992343028108
9.261456e-05	-3.3238183252860283e-05	0.0011472773737944684	0.9999993413247085	1.7094274672463e-07	0.0012365024234003946	0.9999992355305718
9.262465e-05	-3.723462000754467e-05	0.0011502210338889876	0.9999993378023591	1.7074127205000008e-07	0.0012355106968015017	0.9999992367563533
9.263475e-05	-4.077950203546648e-05	0.0011535805285048187	0.9999993337942763	1.7053268842186536e-07	0.0012345197750698049	0.9999992379801577
9.264484e-05	-4.3830002966886304e-05	0.001157303791692288	0.9999993293632075	1.7031809006909665e-07	0.0012335296582986334	0.9999992392019872
9.265493e-05	-4.6349269298577314e-05	0.0011613343718335483	0.999999324576883	1.7009864485264692e-07	0.0012325403464573139	0.9999992404218444
9.266503e-05	-4.830686563986248e-05	0.001165612113655411	0.9999993195071921	1.6987558015566826e-07	0.001231551839383843	0.9999992416397316
9.267512e-05	-4.967914241826622e-05	0.0011700738849879993	0.9999993142293082	1.6965016805447678e-07	0.0012305641367791498	0.9999992428556517
9.268522e-05	-5.0449521602307324e-05	0.001174654339488823	0.9999993088207755	1.6942370994951282e-07	0.0012295772382030208	0.9999992440696077
9.269531e-05	-5.060869698951945e-05	0.0011792867061175012	0.9999993033605697	1.6919752084196654e-07	0.0012285911430717368	0.9999992452816024
9.270541e-05	-5.015474663982986e-05	0.0011839035958230862	0.9999992979281423	1.6897291344602642e-07	0.0012276058506574497	0.9999992464916395
9.271550e-05	-4.9093156095957875e-05	0.0011884378156979962	0.9999992926024601	1.6875118232869322e-07	0.001226621360089308	0.9999992476997224
9.272560e-05	-4.7436752110253286e-05	0.001192823180762312	0.9999992874610532	1.685335882687758e-07	0.0012256376703563136	0.9999992489058542
9.273569e-05	-4.520554767865544e-05	0.0011969953135709198	0.9999992825790817	1.6832134302403815e-07	0.001224654780311878	0.9999992501100392
9.274578e-05	-4.2426500253952185e-05	0.00120089242198301	0.999999278028431	1.6811559469053798e-07	0.0012236726886800265	0.9999992513122811
