#t	<mx>	<my>	<mz>	B_ext_x	B_ext_y	B_ext_z	(B_x	B_y	B_z)@(0,0,0.001)
2.10042000000005e-08	0.0013119691045584312	0.001086651152021286	0.9999985489621186	0.00046674941550994543	0	0.001050210000000025	-2.7477816670783642e-14	-2.2758768508033053e-14	4.188784126693125e-11
2.2004400000004945e-08	0.0012251154592347517	-0.0005219360919365583	0.9999991133370207	-0.00024556521687194965	0	0.001100220000000247	-2.565875817687454e-14	1.0931403947141722e-14	4.1887864907411876e-11
2.3004600000009388e-08	0.0009873207337413009	0.002462971626094466	0.9999964794780718	-8.817423918459707e-05	0	0.0011502300000004694	-2.0678397092390365e-14	-5.158435711025654e-14	4.188775458058622e-11
2.4004800000013832e-08	0.0008012152946239119	0.00022229818350796293	0.9999996543187251	0.00038149887462631384	0	0.0012002400000006915	-1.678061389022842e-14	-4.655802268099813e-15	4.1887887568000523e-11
2.5005000000018275e-08	0.0005188759528490133	0.001324195927336637	0.9999989886359344	-0.0004999628169072378	0	0.0012502500000009136	-1.0867312543965758e-14	-2.7733894648228682e-14	4.188785968394498e-11
2.600520000002272e-08	0.0001839394846154402	0.002331934547569173	0.9999972641200235	0.00038926790569310043	0	0.001300260000001136	-3.8524195571530646e-15	-4.8839922955303676e-14	4.1887787447591435e-11
2.7005400000027162e-08	-8.840589070952642e-05	-6.89117836493398e-05	0.9999999937177823	-0.0001001513519997766	0	0.001350270000001358	1.8515686452474022e-15	1.4432850217235673e-15	4.188790178471499e-11
2.8005600000031606e-08	-0.0004703141238960299	0.002630059945110824	0.9999964307882854	-0.0002348697534404861	0	0.0014002800000015802	9.850235976741913e-15	-5.508384668040626e-14	4.188775254107322e-11
2.900580000003605e-08	-0.0007510116460528889	0.0005995456064772864	0.9999995382631801	0.000462237886301484	0	0.0014502900000018023	1.5729151133334224e-14	-1.2556853818673865e-14	4.1887882706677234e-11
3.000600000003712e-08	-0.0010079564210493637	0.0004742619013867322	0.9999993795495586	-0.00047773845521700847	0	0.001500300000001856	2.1110589916715608e-14	-9.932918035160566e-15	4.1887876058496596e-11
3.100620000002502e-08	-0.0012533673352678758	0.0018659003252301384	0.9999974737399586	0.000274266746217361	0	0.0015503100000012508	2.6250464084846487e-14	-3.907932502715872e-14	4.188779622813074e-11
