#t	<mx>	<my>	<mz>	B_ext_x	B_ext_y	<B_ext_z
4.928800000003615e-08	0.9489457081162904	0.253246187765768	-0.18806294741835697	0.001	0	0
4.9389000000036263e-08	0.9494612210449144	0.2613952069405092	-0.17376766782795172	0.001	0	0
4.949000000003638e-08	0.9499718440326038	0.26875454301935425	-0.15913442167282976	0.001	0	0
4.959100000003649e-08	0.9504776172100388	0.27531102322667633	-0.1442061679385142	0.001	0	0
4.969200000003661e-08	0.9509785805021177	0.28105378777987855	-0.12902632764605776	0.001	0	0
4.979300000003672e-08	0.9514747736264388	0.2859743026317331	-0.113638660099812	0.001	0	0
4.9894000000036836e-08	0.9519662360918496	0.29006636561283006	-0.09808713904977595	0.001	0	0
4.999500000003695e-08	0.9524530071970616	0.2933261059998289	-0.08241582912015964	0.001	0	0
5.0096000000037065e-08	0.952935126029332	0.2957519775539535	-0.06666876285286116	0.001	0	0
5.019700000003718e-08	0.9534126314632057	0.29734474509267633	-0.05088981871058054	0.001	0	0
5.0298000000037294e-08	0.9538855621593254	0.2981074646757307	-0.03512260037937473	0.001	0	0
5.039900000003741e-08	0.9543539565632988	0.29804545750445843	-0.01941031770454588	0.001	0	0
5.050000000003752e-08	0.9548178529046285	0.29716627765094494	-0.0037956695869266442	0.001	0	0
5.060100000003764e-08	0.9552772891957024	0.29547967375040807	0.011679270841126615	0.001	0	0
5.070200000003775e-08	0.95573230323084	0.2929975448068123	0.026973168449354434	0.001	0	0
5.080300000003787e-08	0.956182932585399	0.28973389027764884	0.042045535451636015	0.001	0	0
5.090400000003798e-08	0.9566292146149376	0.2857047546192065	0.0568568375655642	0.001	0	0
5.1005000000038096e-08	0.9570711864544308	0.28092816648840735	0.07136859670975453	0.001	0	0
5.110600000003821e-08	0.9575088850175428	0.2754240728113718	0.08554348997092184	0.001	0	0
5.1207000000038325e-08	0.9579423469959523	0.269214267942249	0.09934544458529934	0.001	0	0
5.130800000003844e-08	0.9583716088587295	0.26232231814850004	0.11273972869217566	0.001	0	0
5.1409000000038554e-08	0.9587967068517662	0.25477348167067815	0.12569303763115108	0.001	0	0
5.151000000003867e-08	0.9592176769972531	0.24659462461581735	0.13817357556911572	0.001	0	0
5.161100000003878e-08	0.9596345550932099	0.2378141329537759	0.15015113225787188	0.001	0	0
5.17120000000389e-08	0.9600473767130628	0.22846182089525655	0.16159715473874248	0.001	0	0
5.181300000003901e-08	0.9604561772052669	0.2185688359387239	0.17248481382634961	0.001	0	0
5.1914000000039126e-08	0.9608609916929773	0.20816756088104774	0.18278906521995852	0.001	0	0
